UTM 10X10,COUNTRY,Tmax30-REM 1971-2000,Tmax30nd5d-REM 1971-2000,TmaxAvemin-REM 1971-2000,TmaxAvemin5d-REM 1971-2000,Tmax30-WRA 1971-2000,Tmax30nd5d-WRA 1971-2000,TmaxAvemin-WRA 1971-2000,TmaxAvemin5d-WRA 1971-2000,Tmax30-WRB 1971-2000,Tmax30nd5d-WRB 1971-2000,TmaxAvemin-WRB 1971-2000,TmaxAvemin5d-WRB 1971-2000,Tmax30-PRO 1971-2000,Tmax30nd5d-PRO 1971-2000,TmaxAvemin-PRO 1971-2000,TmaxAvemin5d-PRO 1971-2000,Tmax30-MM5 1971-2000,Tmax30nd5d-MM5 1971-2000,TmaxAvemin-MM5 1971-2000,TmaxAvemin5d-MM5 1971-2000,PrAvemax-REM 1971-2000,PrAvemax5d-REM 1971-2000,Pr1mm-REM 1971-2000,Pr1mm5d-REM 1971-2000,PrAvemax-WRA 1971-2000,PrAvemax5d-WRA 1971-2000,Pr1mm-WRA 1971-2000,Pr1mm5d-WRA 1971-2000,PrAvemax-WRB 1971-2000,PrAvemax5d-WRB 1971-2000,Pr1mm-WRB 1971-2000,Pr1mm5d-WRB 1971-2000,PrAvemax-PRO 1971-2000,PrAvemax5d-PRO 1971-2000,Pr1mm-PRO 1971-2000,Pr1mm5d-PRO 1971-2000,PrAvemax-MM5 1971-2000,PrAvemax5d-MM5 1971-2000,Pr1mm-MM5 1971-2000,Pr1mm5d-MM5 1971-2000,Hum-relat-REM 1971-2000,Hum-relat-WRA 1971-2000,Hum-relat-WRB 1971-2000,Hum-relat-PRO 1971-2000,Hum-relat-MM5 1971-2000,Tmax30-REM 2021-2050,Tmax30nd5d-REM 2021-2050,TmaxAvemin-REM 2021-2050,TmaxAvemin5d-REM 2021-2050,Tmax30-WRA 2021-2050,Tmax30nd5d-WRA 2021-2050,TmaxAvemin-WRA 2021-2050,TmaxAvemin5d-WRA 2021-2050,Tmax30-WRB 2021-2050,Tmax30nd5d-WRB 2021-2050,TmaxAvemin-WRB 2021-2050,TmaxAvemin5d-WRB 2021-2050,Tmax30-PRO 2021-2050,Tmax30nd5d-PRO 2021-2050,TmaxAvemin-PRO 2021-2050,TmaxAvemin5d-PRO 2021-2050,Tmax30-MM5 2021-2050,Tmax30nd5d-MM5 2021-2050,TmaxAvemin-MM5 2021-2050,TmaxAvemin5d-MM5 2021-2050,PrAvemax-REM 2021-2050,PrAvemax5d-REM 2021-2050,Pr1mm-REM 2021-2050,Pr1mm5d-REM 2021-2050,PrAvemax-WRA 2021-2050,PrAvemax5d-WRA 2021-2050,Pr1mm-WRA 2021-2050,Pr1mm5d-WRA 2021-2050,PrAvemax-WRB 2021-2050,PrAvemax5d-WRB 2021-2050,Pr1mm-WRB 2021-2050,Pr1mm5d-WRB 2021-2050,PrAvemax-PRO 2021-2050,PrAvemax5d-PRO 2021-2050,Pr1mm-PRO 2021-2050,Pr1mm5d-PRO 2021-2050,PrAvemax-MM5 2021-2050,PrAvemax5d-MM5 2021-2050,Pr1mm-MM5 2021-2050,Pr1mm5d-MM5 2021-2050,Hum-relat-REM 2021-2050,Hum-relat-WRA 2021-2050,Hum-relat-WRB 2021-2050,Hum-relat-PRO 2021-2050,Hum-relat-MM5 2021-2050
MD70,PORTUGAL,17.53,0.9,21.83,1,19.9,1.27,14.07,0.27,15.2,0.83,20.23,0.8,38.83,3.4,46.17,2.77,9.03,0.27,22.17,1,70.47,3.7,269.53,41.83,72.13,3.67,268.67,41.33,74.37,3.73,262.4,39.17,81.97,5.3,247.2,36.43,63.3,1.93,284.13,42.6,76.84,79.99,76.48,81.48,72.98,25.27,1.6,27.07,1.13,24.5,1.57,12.03,0.13,18.63,0.83,21.03,0.47,54.23,5.37,45.57,2.63,13.47,0.53,23.57,0.97,67.9,3.5,279.2,44.17,69.1,3.23,277.73,42.87,72.33,3.13,269.9,40.87,77.83,4.83,256.53,38.1,81.67,2,254.27,32.43,77.07,80.31,77.02,81.83,73.66
MD71,PORTUGAL,21.67,1.33,18.7,0.7,14.97,0.77,16.57,0.4,12.07,0.5,22.87,0.93,27.23,2.17,46.37,2.8,4.37,0.07,26.5,1.4,73.03,4.07,266.23,41,73.53,3.7,267.03,40.8,75.8,3.97,259.4,38.37,83.27,5.67,242.97,35.5,63.97,1.97,283.03,42.27,77.4,81.12,77.53,82.2,74.11,28.67,2,23.13,0.77,19.87,1.03,14.37,0.17,15.27,0.57,24.6,0.63,34.27,2.57,45.33,2.53,6.83,0.1,29,1.37,69.93,3.87,275.83,43.1,70.63,3.47,275.7,42.43,73.53,3.23,267.93,40.37,79.03,5.23,251.03,36.87,81.93,1.87,253.07,32.43,77.62,81.45,78.08,82.59,74.81
MC78,PORTUGAL,1.47,0,47.6,4,14.13,0.63,19.13,0.67,10.9,0.37,30.37,1.47,52.9,5.13,38.27,1.97,9.37,0.27,24.57,1.23,68.3,3.97,268.3,42.1,72,3.87,265.67,40.83,75.47,3.57,254.77,37.3,77.93,4.73,253.7,38.17,61.43,1.7,288.67,43.5,75.32,80.81,76.46,80.94,72.27,3.3,0.03,53,4.17,19.77,1.13,18.3,0.37,15.47,0.67,31.9,1.4,63.3,6.37,37.27,1.7,13.83,0.6,26.37,1.07,65.87,4,278.4,44.77,70.03,3.47,272.1,41.9,74.7,4.23,262.67,39.17,73.1,4.13,264,39.9,79.33,1.77,260.23,33.73,75.75,80.99,76.98,81.1,72.94
MC79,PORTUGAL,6.13,0.27,33.8,2,20.6,1.17,14.27,0.3,16.1,0.87,22.27,1,40.6,3.53,43.07,2.47,17.8,0.57,18.87,0.7,69.77,3.97,267.67,41.67,72.1,3.8,267.1,41.17,75.13,3.6,259.6,38.43,80.13,5.2,251.13,37.4,61.67,1.63,286.47,43.13,75.92,79.73,75.93,81,71.69,11.6,0.63,38.9,2.27,25.4,1.77,12.97,0.13,19.33,0.97,22.9,0.63,54.87,5.4,41.77,2.23,22.87,1.07,19.53,0.53,67.1,4.1,277.73,44.3,69.6,3.43,275.27,42.4,73.63,3.57,267.07,40.33,75.7,4.5,260.57,39.27,79.7,1.8,257.07,32.77,76.25,79.98,76.46,81.27,72.37
MD84,PORTUGAL,17.77,0.87,22.53,0.93,17.2,1.1,17,0.4,14.3,0.6,22.27,0.77,46.33,4.27,39.47,2.07,17,0.7,17.2,0.57,75.77,4.53,258.47,39.4,74.5,3.93,263.67,39.63,78.13,3.83,257.17,37.63,86,5.53,239.87,34.37,64.63,1.8,282.27,42,77.12,80.75,77.07,82.39,72.59,24,1.4,27.47,1.1,21.53,1.17,14.73,0.13,17.27,0.63,23.83,0.67,56.27,5.23,38.13,1.73,20.67,1,17.57,0.47,70.93,4.1,267.97,41.5,72.07,3.5,272.37,41.9,76.63,3.57,263.97,39.57,81.63,5.5,247.53,36,81.77,1.7,253.07,31.83,77.39,80.97,77.6,82.76,73.28
MD85,PORTUGAL,8.87,0.4,28.4,1.3,9.57,0.3,21.97,0.67,7.83,0.27,29.53,1.43,24.93,1.73,46.27,2.6,14.63,0.57,19.63,0.73,76.47,4.93,254.9,38.6,76.73,4.1,257.77,38.7,79.9,4.37,248.83,36.13,86.33,5.6,240,34.7,66.27,1.97,280.9,41.77,77.27,82.08,78.21,82.18,72.48,14.33,0.63,33.1,1.67,14.63,0.47,20.23,0.43,11.17,0.37,31.97,1.33,30.1,1.87,44.9,2.63,18.1,0.63,20.57,0.67,71.9,4.4,264.97,40.93,74.9,4.13,266.77,40.33,78.43,3.9,256.53,37.97,82.63,5.53,248,36.2,82.8,1.87,252.17,31.73,77.66,82.29,78.74,82.66,73.18
MD82,PORTUGAL,29.6,2.13,17.97,0.63,20.07,1.47,14.97,0.27,16.83,0.87,20.4,0.73,50.5,4.83,38.47,2,19,0.8,15.77,0.53,75.1,4.37,263.97,40.37,74.23,3.63,265.57,40,77.47,3.97,259.63,38.57,83.4,5.67,242.13,35,63.6,1.9,283.33,42.53,76.16,80.56,76.51,82.05,72.51,37.5,3.13,22.13,0.6,24.93,1.63,12.93,0.17,20.33,1,21.2,0.53,58.83,5.67,37.1,1.7,23,1.1,16.1,0.37,70.93,4,274,42.8,71.07,3.63,275.47,42.43,75.13,3.7,267.13,40,79.57,5.27,250.6,36.83,81.2,1.83,253.13,31.9,76.28,80.82,77.03,82.34,73.18
MD83,PORTUGAL,24.17,1.43,20.03,0.77,19.53,1.27,15.57,0.23,15.7,0.8,20.47,0.7,47.73,4.4,39.13,1.97,18.67,0.83,16.03,0.5,75.67,4.5,261.2,39.97,75.13,4,264.17,39.5,77.5,3.7,259.03,37.93,85.13,5.63,241.73,34.77,64.8,1.97,282.5,42.07,76.64,80.52,76.66,82.02,72.46,30.63,2.2,24.47,0.7,23.43,1.47,12.97,0.13,19.3,0.93,21.93,0.57,57.3,5.37,37.5,1.77,22.4,1.1,16.43,0.4,70.6,4.13,270.63,42.07,71.3,3.6,274.57,42.2,76.6,3.77,264.97,39.2,80.5,5.33,249.83,36.47,81.27,1.77,252.57,32.13,76.83,80.75,77.18,82.36,73.14
MD80,PORTUGAL,34.77,2.8,17.9,0.7,27.4,2.23,12.47,0.27,21.6,1.33,18.67,0.7,52,5.13,36.53,1.77,23.17,1.13,14.83,0.53,68.67,3.23,273.43,42.23,72.27,3.93,267.5,41.23,75.3,3.73,260.53,38.63,81.37,5.37,247.8,36.6,62.93,1.73,285.57,42.73,75.62,79.23,75.06,81.23,71.76,43.87,3.93,21.87,0.6,31.4,2.33,10.53,0.1,25.47,1.63,18.7,0.43,61.13,6.2,35.6,1.57,28.17,1.77,15.6,0.37,66.3,3.17,282.63,44.47,69.8,3.43,276.57,42.7,73.97,3.6,269.37,40.8,76.87,4.9,256.37,38.27,81.23,1.87,255.6,32.53,75.66,79.43,75.53,81.43,72.4
MD81,PORTUGAL,37.8,3.1,15.2,0.47,24.83,1.9,13.47,0.27,19.57,1.1,18.57,0.63,58.77,6.4,37.73,1.83,20.27,0.83,15.6,0.57,69.13,2.87,274.27,42,72.07,3.6,268.13,40.7,75.03,3.8,262.3,38.97,82.53,5.67,242.97,35.3,63.57,1.87,284.4,42.53,76.11,79.91,75.88,82.14,72.28,48.1,4.5,19.2,0.33,28.6,2.1,11.33,0.1,23.17,1.4,19.1,0.5,72.3,8.4,36.3,1.7,24.6,1.27,15.97,0.37,66.57,2.87,283,43.97,69.57,3.17,278.4,42.83,72.87,3.3,270.7,40.87,78.87,5.27,250.2,36.67,81.5,1.8,253.7,31.93,76.13,80.19,76.39,82.39,72.94
MC88,PORTUGAL,11.67,0.5,34.27,2.23,34.9,3.1,10.7,0.17,28.13,2.07,17.87,0.7,59.83,6.83,35.67,1.73,23.27,1.2,17.23,0.67,66.67,3.8,270.93,42.57,70.2,3.43,269.37,41.4,74.33,3.13,261,38.63,75.73,4.3,257.8,39.03,60.73,1.7,289.3,43.9,74.04,77.83,73.42,80.02,71.05,19.13,1.33,38.67,2.27,39.67,3.23,9.23,0.13,34.53,2.47,18.13,0.37,72.5,8.13,34.17,1.43,29.5,1.77,17.73,0.5,64.57,3.7,280.4,44.77,68.73,3.2,275.6,42.4,73.17,3.4,269.33,40.13,71.33,3.87,267.63,40.8,79.17,1.8,259.8,33.53,74.24,77.98,73.87,80.13,71.67
MC89,PORTUGAL,23.43,1.53,24.83,1.4,31.37,2.73,12,0.2,24.7,1.73,18.67,0.77,56.43,5.97,34.93,1.7,27.57,1.57,14.43,0.5,67.7,3.67,271.97,42.57,71.8,4.03,267.4,41.2,75.2,3.27,260.33,38.57,78.33,4.87,254.43,38.13,61.33,1.8,287.6,43.7,74.69,78.5,74.18,80.5,71.13,33.17,2.77,29.17,1.27,35.57,2.8,10,0.1,30.13,2.03,18.63,0.37,65.33,6.67,33.7,1.4,33.47,2.23,14.83,0.37,65.17,3.77,280.6,44.83,69.37,3.13,275.53,42.5,74.13,3.6,268.37,40.33,73.23,4.1,263.77,40.1,79.63,1.63,258.1,32.83,74.81,78.65,74.64,80.64,71.74
MC86,PORTUGAL,3.13,0.1,43.9,3.47,16.8,0.8,13.9,0.3,13.4,0.5,25,1,48.5,5.2,57.47,4.2,6.03,0.1,31.47,1.77,66.87,3.73,271.27,42.47,72.1,3.93,270.47,42.07,75.73,3.83,260.4,39.2,72.33,4.07,266.7,41.23,59.27,1.73,292.43,44.6,74.65,80.06,74.96,79.01,72.18,7.57,0.37,48.87,3.77,23.1,1.57,12.5,0.13,19.37,1.03,26.03,0.77,66.4,7.4,59.67,4.93,9.93,0.37,35.17,1.93,64.7,3.77,281.63,44.93,70.4,3.53,277.23,43.13,74.37,3.9,268.67,40.7,67.2,3.5,276.17,42.97,77.23,1.83,265.03,35.37,74.99,80.29,75.41,79.3,72.8
MC87,PORTUGAL,6.7,0.27,37.1,2.53,29.07,2.17,11.07,0.17,23.57,1.43,18.43,0.63,49.6,5.43,42.83,2.47,16.83,0.7,21.33,0.83,67.03,3.8,270,42.43,70.67,3.83,270.3,41.63,74.8,3.6,261.57,39.3,75.57,4.43,259.57,39.53,60.33,1.7,292.07,44.37,74.43,78.46,73.78,79.48,71.14,13.6,0.93,42.2,2.77,34.5,2.6,9.27,0.13,29.37,2.03,18.87,0.3,66.73,7.4,41.63,2.27,23.87,1.43,22.23,0.67,64.8,3.97,280.3,44.7,69.77,3.3,275.67,42.57,73.93,3.77,269.07,40.33,70.67,3.97,270.03,41.47,77.77,1.83,263.77,34.87,74.69,78.66,74.23,79.66,71.77
MC85,PORTUGAL,0.27,0,63.3,6.87,3.23,0.03,27.6,1.2,2.23,0.03,46.2,3.43,0,0,75.83,7.37,0.37,0,60,5.8,67.73,3.77,271.6,42.47,72.17,4.07,271.07,42.17,75.77,4.3,257.3,38.63,71.57,4,268.3,41.7,60.4,1.83,290.9,44.33,74.77,82.89,77.3,79.23,74.06,0.93,0,69.7,8,5.83,0.07,26.73,0.77,5.03,0.07,47.77,3.13,0.1,0,79.67,8.6,0.43,0,62.8,6.23,65.4,3.9,280.7,44.47,69.93,3.67,277.27,43.03,73.37,4.03,266.73,39.93,66.27,3.5,278.63,43.67,77.97,2.1,263.73,35.3,75.21,83.11,77.78,79.62,74.65
MD74,PORTUGAL,2.6,0,33.2,1.67,6.47,0,24.43,0.8,4.97,0.1,33.67,1.83,30.13,2.33,44.47,2.53,3.4,0.07,27.93,1.37,76,5.13,256.17,39.3,76.07,4.23,260.07,38.93,78.8,4,249.23,35.83,85.57,5.3,242.13,34.8,65.93,1.87,282.13,41.93,77.76,82.96,79.23,82.35,74.47,5.5,0.1,37.4,2.03,11.1,0.33,23.03,0.5,8.27,0.17,37.3,1.73,33.17,2.13,42.93,2.27,4.83,0.03,30.03,1.43,71.5,4.4,266.67,41.47,73.9,3.7,268.87,40.9,78.57,3.97,257.13,36.93,80.77,5.27,249.83,36.27,81.47,1.93,253.1,32.37,78.26,83.18,79.76,82.82,75.18
MD75,PORTUGAL,0.57,0,41.53,2.8,2.1,0,34.97,1.8,1.4,0,47.83,3.57,23.77,1.57,53.43,3.63,3.3,0.03,30.8,1.53,76.03,5.23,253.93,38.93,76.43,3.93,255.87,37.7,79.57,4.37,240.13,33.1,86.53,5.6,242.23,35.07,66.67,2,280.87,41.57,78.05,84.55,80.51,82.15,74.14,1.43,0,48.17,3.5,4.73,0.07,34.93,1.5,3.53,0.03,51.27,3.57,29.83,1.8,54.3,3.8,5,0.03,33.57,1.8,72.43,4.47,264.5,40.93,74.57,3.9,264.03,39.4,78.03,4.03,247.43,34.27,81.9,5.27,250.53,36.7,82.5,2.1,252.63,32.27,78.65,84.75,81.03,82.72,74.86
MD72,PORTUGAL,14.33,0.63,22.63,1,8.6,0.23,20.57,0.6,6.97,0.17,29.5,1.5,36.87,3.1,43.03,2.37,2.63,0.03,28.4,1.5,74.57,4.6,261.03,40.27,74.73,3.87,261.9,39.63,78.07,4.03,253.97,37.27,83.87,5.63,242.07,34.93,64.9,1.97,281.63,42.07,77.31,82.43,78.56,82.4,74.61,20.33,1.13,27.23,1.1,13.47,0.43,18.77,0.33,10.37,0.3,31.57,1.17,40.93,3.23,41.67,2.23,4.3,0.03,31.27,1.57,70.4,4.2,270.47,42.2,72.07,3.8,271.53,41.6,76.27,4.03,261.2,38.83,79.5,5.27,250.4,36.7,81.33,1.9,252.6,32.4,77.63,82.7,79.09,82.79,75.31
MD73,PORTUGAL,8.13,0.4,27.8,1.33,7.47,0.1,22.47,0.7,5.73,0.1,31.47,1.7,44.93,3.97,41.87,2.33,3,0.03,27.93,1.37,74.33,4.63,258.3,39.77,75.57,4.07,260.8,39.2,78.57,4.07,251.67,36.53,84.4,5.07,242.97,35.1,65.83,2,281.43,41.83,77.35,82.77,78.94,82.33,74.54,13.27,0.57,31.77,1.43,12.3,0.37,20.67,0.4,9.2,0.27,34.57,1.5,54.97,5.2,40.37,1.97,4.6,0.03,31.1,1.5,70.13,4.27,267.77,41.5,72.5,3.7,270.5,41.47,77.67,4.13,259.23,37.87,79.6,5.03,250.77,36.67,81.83,1.93,252.07,32.03,77.77,83,79.48,82.75,75.25
